data;

# SNodes: 20, SEdges: 19

set SNodes := A B C D E F G H I J K L M N O P Q R S T ;

param cpuSup := 
A 100
B 100
C 100
D 100
E 100
F 100
G 100
H 100
I 100
J 100
K 100
L 100
M 100
N 100
O 100
P 100
Q 100
R 100
S 100
T 100
;

param secSupNode := 
A 0
B 0
C 0
D 0
E 0
F 0
G 0
H 0
I 0
J 0
K 0
L 0
M 0
N 0
O 0
P 0
Q 0
R 0
S 0
T 0
;

param bwSup:
  A B C D E F G H I J K L M N O P Q R S T :=
S 0 0 0 0 0 0 0 1000 0 0 0 0 0 0 0 0 0 0 0 0 
T 0 0 0 0 0 0 0 1000 0 0 0 0 0 0 0 0 0 0 0 0 
;

param secSupEdge :
  A B C D E F G H I J K L M N O P Q R S T :=
A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
C 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
E 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
F 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
G 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
J 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
K 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
M 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
O 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
R 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
;

param weight :
  A B C D E F G H I J K L M N O P Q R S T :=
A 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 
B 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
C 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
D 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
E 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
F 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
G 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
H 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
I 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
J 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
K 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
L 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
M 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
N 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
O 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
P 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Q 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
R 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
S 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
T 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
;

set Clouds := 1 2 ;

param doesItBelong := 
1 A 1
1 B 0
1 C 0
1 D 1
1 E 1
1 F 0
1 G 0
1 H 1
1 I 1
1 J 1
1 K 1
1 L 1
1 M 1
1 N 1
1 O 1
1 P 1
1 Q 1
1 R 1
1 S 1
1 T 1
2 A 0
2 B 1
2 C 1
2 D 0
2 E 0
2 F 1
2 G 1
2 H 0
2 I 0
2 J 0
2 K 0
2 L 0
2 M 0
2 N 0
2 O 0
2 P 0
2 Q 0
2 R 0
2 S 0
2 T 0
;

param cloudSecSup := 
A 2
D 2
E 2
H 2
I 2
J 2
K 2
L 2
M 2
N 2
O 2
P 2
Q 2
R 2
S 2
T 2
B 1
C 1
F 1
G 1
;

# VNodes: 5, VEdges: 4

set VNodes := 1 2 4 6 9 ;

set VEdges := (1,2)(1,4)(1,6)(1,9);

param cpuDem := 
1 100
2 100
4 100
6 100
9 100
;

param secDemNode := 
1 0
2 0
4 0
6 0
9 0
;

param bwDem := 
1 2 1000
1 4 1000
1 6 1000
1 9 1000
;

param secDemEdge := 
1 2 0
1 4 0
1 6 0
1 9 0
;

param cloudSecDem := 
1 0
2 0
4 0
6 0
9 0
;

param wantBackup := 0;

param bvNodeLocalization := 
1 0
2 0
4 0
6 0
9 0
;

end;
